name,position,team,bye_week,adp,adp_round,adp_7d,adp_30d,trend_7d,trend_30d
Malik Washington,WR,MIA,6,150.7,13,154.1,181.7,-3.4,-31.0
Zach Charbonnet,RB,SEA,11,153.1,13,151.9,118.0,1.1,35.1
Hunter Henry,TE,NE,11,154.3,13,156.8,152.4,-2.5,1.9
MarShawn Lloyd,RB,GB,11,157.3,14,175.0,228.4,-17.7,-71.1
Bryce Young,QB,CAR,5,157.5,14,155.6,145.8,1.9,11.7
Jalen McMillan,WR,TB,10,157.8,14,153.5,141.9,4.3,15.8
Tank Bigsby,RB,PHI,10,158.5,14,160.8,191.0,-2.3,-32.4
Jonah Coleman,RB,DEN,10,158.7,14,166.6,166.0,-7.9,-7.3
Dontayvion Wicks,WR,PHI,10,159.7,14,173.8,212.0,-14.1,-52.3
Tyjae Spears,RB,TEN,9,161.1,14,163.2,162.6,-2.0,-1.5
Travis Hunter,WR,JAX,7,162.6,14,156.6,155.1,6.0,7.5
Tre Tucker,WR,LV,13,163.0,14,164.2,169.2,-1.2,-6.2
Jauan Jennings,WR,MIN,6,164.8,14,160.9,154.6,3.8,10.1
Oronde Gadsden II,TE,LAC,7,165.0,14,155.9,120.2,9.1,44.8
Jacoby Brissett,QB,ARI,14,166.2,14,165.9,157.0,0.3,9.1
Isiah Pacheco,RB,DET,6,167.5,14,148.8,146.9,18.7,20.6
T.J. Hockenson,TE,MIN,6,168.2,15,166.7,159.5,1.5,8.7
Jaydon Blue,RB,DAL,14,170.4,15,167.7,228.4,2.7,-58.0
Ryan Flournoy,WR,DAL,14,170.7,15,166.4,198.0,4.3,-27.3
Ja'Kobi Lane,WR,BAL,13,171.8,15,206.1,229.2,-34.3,-57.4
Terrance Ferguson,TE,LAR,11,172.5,15,183.7,213.3,-11.2,-40.8
Omar Cooper Jr.,WR,NYJ,13,172.6,15,159.4,146.6,13.2,25.9
Dalton Schultz,TE,HOU,8,173.1,15,172.2,168.7,1.0,4.4
Tre' Harris,WR,LAC,7,173.4,15,174.1,197.8,-0.6,-24.4
Dylan Sampson,RB,CLE,11,174.5,15,174.3,173.2,0.2,1.3
Aaron Rodgers,QB,PIT,9,174.6,15,171.2,182.3,3.4,-7.7
Adonai Mitchell,WR,NYJ,13,176.4,15,177.3,206.7,-0.9,-30.2
Greg Dulcich,TE,MIA,6,177.8,15,178.0,218.0,-0.2,-40.2
Tank Dell,WR,HOU,8,179.9,15,180.4,185.3,-0.5,-5.4
Fernando Mendoza,QB,LV,13,180.4,16,182.5,155.7,-2.1,24.7
Cyrus Allen,WR,KC,5,181.5,16,198.9,227.6,-17.4,-46.1
Pat Bryant,WR,DEN,10,181.7,16,206.7,226.0,-25.0,-44.2
Isaac TeSlaa,WR,DET,6,183.5,16,172.2,169.3,11.3,14.2
Kenyon Sadiq,TE,NYJ,13,185.1,16,173.9,139.0,11.2,46.1
Brian Robinson Jr.,RB,ATL,11,185.2,16,181.2,172.8,4.0,12.5
AJ Barner,TE,SEA,11,185.7,16,185.7,172.5,0.0,13.3
Ray Davis,RB,BUF,7,188.2,16,187.9,206.9,0.3,-18.7
Mike Washington Jr.,RB,LV,13,189.3,16,209.7,181.2,-20.4,8.1
Geno Smith,QB,NYJ,13,190.2,16,182.9,168.1,7.3,22.2
Jerry Jeudy,WR,CLE,11,190.6,16,184.0,175.6,6.6,15.1
Gunnar Helm,TE,TEN,9,192.0,17,186.0,188.6,6.0,3.4
Zachariah Branch,WR,ATL,11,193.2,17,187.9,213.2,5.3,-20.0
Cade Otton,TE,TB,10,193.2,17,190.6,185.0,2.6,8.2
Caleb Douglas,WR,MIA,6,193.5,17,224.6,229.4,-31.1,-35.9
Braelon Allen,RB,NYJ,13,193.7,17,198.7,196.1,-5.0,-2.3
